year,lowbrth,infmort,afdcprt,popul,pcinc,physic,afdcprc,d90,lpcinc,cafdcprc,clpcinc,lphysic,clphysic,clowbrth,cinfmort,afdcpay,afdcinc,lafdcpay,clafdcpy,cafdcinc,stateabb,state,beds,bedspc,lbedspc,clbedspc,povrate,cpovrate,afdcpsq,cafdcpsq,physicpc,lphypc,clphypc,lpopul,clpopul
1987,8,12.2,132,4084,12039,151,3.2321253,0,9.3959064,,,5.0172796,,,,114,.94692248,4.7361984,,,AL,alabama,24.200001,.0059255632,-5.1284795,,21.299999,,10.446634,,.036973555,-3.2975523,,8.3148317,
1990,8.3999996,10.8,132,4041,14899,158,3.2665181,1,9.6090498,.034392834,.21314335,5.0625949,.045315266,.39999962,-1.3999996,115,.77186388,4.7449322,.0087337494,-.1750586,AL,alabama,23.5,.0058153924,-5.1472468,-.018767357,19.200001,-2.0999985,10.67014,.22350597,.039099231,-3.2416525,.055899858,8.3042479,-.010583878
1987,4.8000002,10.4,19,524,18461,138,3.6259542,0,9.8234158,,,4.9272537,,,,567,3.0713396,6.3403592,,,AK,alaska,2,.0038167939,-5.5683446,,12,,13.147544,,.26335877,-1.3342381,,6.2614918,
1990,4.8000002,10.5,24,550,20867,146,4.3636365,1,9.9459238,.73768234,.12250805,4.9836068,.056353092,0,.10000038,651,3.1197584,6.4785094,.13815022,.04841876,AK,alaska,2,.0036363637,-5.6167712,-.048426628,11.4,-.60000038,19.041323,5.8937788,.26545453,-1.3263117,.0079263449,6.3099184,.048426628
1987,6.4000001,9.5,91,3400,14322,191,2.6764705,0,9.5695524,,,5.2522736,,,,268,1.8712471,5.5909872,,,AZ,arizona,13.4,.0039411765,-5.5362759,,12.8,,7.1634946,,.056176469,-2.8792572,,8.1315308,
1990,6.4000001,8.8000002,144,3665,16169,197,3.9290586,1,9.6908512,1.252588,.12129879,5.2832036,.030930042,0,-.69999981,268,1.6574928,5.5909872,0,-.2137543,AZ,arizona,13.3,.0036289224,-5.6188197,-.08254385,13.7,.89999962,15.437501,8.2740059,.053751707,-2.9233799,-.044122696,8.206584,.075053215
1987,7.6999998,10.3,67,2388,11421,144,2.8056951,0,9.3432093,,,4.9698133,,,,185,1.6198231,5.220356,,,AR,arkansas,13,.0054438859,-5.2132621,,21.799999,,7.8719249,,.060301509,-2.8083982,,7.7782116,
1990,8.1999998,9.1999998,73,2351,14037,150,3.1050618,1,9.5494518,.29936671,.20624256,5.0106354,.040822029,.5,-1.1000004,190,1.3535656,5.2470241,.026668072,-.26625752,AR,arkansas,12.9,.0054870266,-5.205369,.0078930855,19.6,-2.1999989,9.6414089,1.769484,.063802637,-2.7519608,.056437492,7.7625961,-.015615463
1987,6,9,1708,27653,17770,242,6.1765451,0,9.7852669,,,5.4889379,,,,557,3.1344965,6.3225651,,,CA,california,107.6,.0038910788,-5.5490689,,12.3,,38.149712,,.0087513113,-4.7385516,,10.227489,
1990,5.8000002,7.9000001,2023,29760,20547,244,6.7977152,1,9.9304705,.62117004,.14520359,5.4971681,.0082302094,-.19999981,-1.0999999,637,3.1002092,6.4567695,.13420439,-.034287214,CA,california,105.7,.0035517472,-5.6403155,-.091246605,13.9,1.5999994,46.208931,8.0592194,.0081989244,-4.8037524,-.065200806,10.30092,.073431015
1987,7.9000001,9.8000002,94,3293,15680,202,2.8545399,0,9.660141,,,5.3082676,,,,312,1.9897959,5.7430034,,,CO,colorado,14.1,.00428181,-5.4533796,,12.5,,8.1483974,,.061342239,-2.7912867,,8.0995541,
1990,8,8.8000002,109,3294,18795,211,3.3090467,1,9.8413458,.45450687,.1812048,5.3518581,.043590546,.099999905,-1,320,1.7025805,5.768321,.025317669,-.28721547,CO,colorado,13.7,.0041590771,-5.4824619,-.029082298,13.7,1.1999998,10.94979,2.8013926,.06405586,-2.7479997,.043287039,8.0998583,.00030422211
1987,6.6999998,8.8000002,107,3212,21258,293,3.3312578,0,9.964489,,,5.6801724,,,,478,2.2485652,6.1696105,,,CT,connect,15.3,.0047633871,-5.3467965,,6.5999999,,11.097279,,.091220424,-2.3944764,,8.0746489,
1990,6.5999999,7.9000001,135,3287,25528,305,4.1070886,1,10.147532,.77583075,.18304253,5.7203116,.040139198,-.099999905,-.9000001,571,2.2367597,6.3473892,.17777872,-.011805534,CT,connect,14.3,.0043504718,-5.4374709,-.0906744,6,-.5999999,16.868177,5.7708988,.092789777,-2.3774188,.017057657,8.0977306,.023081779
1987,6.6999998,11.7,20,648,16305,191,3.0864198,0,9.6992273,,,5.2522736,,,,261,1.600736,5.5645204,,,DE,delaware,3.4000001,.0052469135,-5.2501154,,6.5999999,,9.5259876,,.29475307,-1.2216173,,6.4738908,
1990,7.5999999,10.1,22,666,20709,199,3.3033032,1,9.938324,.21688342,.23909664,5.2933049,.041031361,.9000001,-1.5999994,292,1.410015,5.676754,.11223364,-.19072104,DE,delaware,2.8,.0042042043,-5.4716702,-.22155476,6.9000001,.30000019,10.911813,1.3858252,.2987988,-1.2079848,.013632536,6.5012898,.027399063
1987,7.6999998,10.6,307,12022,15594,203,2.5536516,0,9.6546412,,,5.3132062,,,,236,1.5134026,5.4638319,,,FL,florida,60.900002,.0050657131,-5.2852602,,12.4,,6.5211363,,.016885709,-4.0812879,,9.3944941,
1990,7.4000001,9.6000004,420,12938,18606,208,3.2462513,1,9.8312397,.69259977,.17659855,5.3375382,.024332047,-.29999971,-1,263,1.4135225,5.572154,.10832214,-.099880099,FL,florida,62.799999,.0048539187,-5.3279691,-.042708874,14.4,2,10.538148,4.0170116,.016076673,-4.1303859,-.049098015,9.4679241,.073430061
1987,8.1999998,12.7,244,6227,14387,167,3.9184198,0,9.5740805,,,5.1179938,,,,237,1.6473205,5.46806,,,GA,georgia,35.099998,.0056367428,-5.1784487,,14.6,,15.354014,,.026818693,-3.6186562,,8.7366495,
1990,8.6999998,12.4,320,6478,17041,175,4.9397964,1,9.7433777,1.0213766,.16929722,5.1647859,.04679203,.5,-.30000019,265,1.555073,5.57973,.11167002,-.092247486,GA,georgia,34.900002,.0053874655,-5.22368,-.045231342,15.8,1.1999998,24.401588,9.047574,.027014511,-3.6113811,.0072751045,8.7761669,.039517403
1987,7,8.8999996,41,1082,15569,225,3.7892792,0,9.6530371,,,5.4161005,,,,410,2.6334383,6.0161572,,,HI,hawaii,3.8,.0035120146,-5.6515656,,8.8000002,,14.358637,,.20794824,-1.570466,,6.9865665,
1990,7.0999999,6.6999998,44,1108,20461,236,3.9711192,1,9.9262762,.18183994,.27323914,5.4638319,.0477314,.099999905,-2.1999998,581,2.8395483,6.3647509,.34859371,.20611,HI,hawaii,4.0999999,.0037003609,-5.5993247,.052240849,11,2.1999998,15.769788,1.4111509,.21299639,-1.5464801,.023985982,7.0103121,.023745537
1987,5.5999999,10.4,18,1000,11797,120,1.8,0,9.3756008,,,4.7874918,,,,259,2.1954734,5.556828,,,ID,idaho,4,.0040000002,-5.521461,,15.1,,3.2399998,,.12,-2.1202636,,6.9077554,
1990,5.6999998,8.6999998,17,1007,15137,125,1.6881827,1,9.624897,-.11181724,.24929619,4.8283138,.040822029,.099999905,-1.6999998,266,1.7572834,5.5834961,.026668072,-.43818998,ID,idaho,3.9000001,.0038728898,-5.5537543,-.03229332,14.9,-.20000076,2.8499608,-.39003897,.12413108,-2.0864172,.033846378,6.914731,.0069756508
1987,7.4000001,11.6,681,11584,16394,210,5.8787985,0,9.7046709,,,5.3471074,,,,308,1.8787361,5.7300997,,,IL,illinois,62.299999,.0053781075,-5.2254186,,14.4,,34.560272,,.018128453,-4.0102725,,9.3573799,
1990,7.5999999,10.7,656,11431,20327,212,5.7387805,1,9.9197054,-.14001799,.21503448,5.3565865,.0094790459,.19999981,-.90000057,342,1.6824913,5.8348107,.10471106,-.19624484,IL,illinois,57.700001,.0050476776,-5.2888269,-.063408375,13.7,-.69999981,32.933601,-1.6266708,.01854606,-3.987498,.022774458,9.3440838,-.013296127
1987,6.5,10.1,150,5530,13987,151,2.7124774,0,9.5458832,,,5.0172796,,,,241,1.7230285,5.484797,,,IN,indiana,28.5,.0051537072,-5.2680387,,11.1,,7.3575339,,.027305605,-3.6006632,,8.6179428,
1990,6.5999999,9.6000004,164,5544,16814,157,2.958153,1,9.7299671,.24567556,.18408394,5.0562458,.038966179,.099999905,-.5,263,1.5641727,5.572154,.087357044,-.1588558,IN,indiana,26.4,.0047619045,-5.3471074,-.079068661,13,1.8999996,8.7506695,1.3931355,.028318902,-3.5642257,.036437511,8.620472,.0025291443
1987,5.0999999,9.1000004,104,2823,14028,145,3.6840241,0,9.548811,,,4.9767337,,,,349,2.4878814,5.855072,,,IA,iowa,17.799999,.0063053486,-5.0663571,,14.5,,13.572034,,.051363796,-2.9688218,,7.9455552,
1990,5.4000001,8.1000004,96,2777,16848,151,3.4569681,1,9.731987,-.22705603,.18317604,5.0172796,.04054594,.30000019,-1,371,2.2020419,5.9162021,.061130047,-.28583956,IA,iowa,17.200001,.0061937347,-5.0842171,-.017859936,10.4,-4.1000004,11.950628,-1.6214056,.054375224,-2.9118466,.056975126,7.9291263,-.016428947
1987,6.4000001,9.5,67,2475,15089,169,2.7070706,0,9.6217213,,,5.1298985,,,,325,2.153887,5.7838254,,,KS,kansas,16.700001,.0067474749,-4.9985871,,9.1999998,,7.3282313,,.068282828,-2.6840971,,7.8139958,
1990,6.1999998,8.3999996,77,2478,17768,175,3.1073446,1,9.7851543,.40027404,.16343307,5.1647859,.034887314,-.20000029,-1.1000004,332,1.8685277,5.8051348,.021309376,-.28535938,KS,kansas,16.1,.0064971754,-5.0363879,-.037800789,10.3,1.1000004,9.655591,2.3273597,.070621468,-2.6504211,.033675909,7.815207,.0012111664
