entity_id,year_recorded,indicator_score,group_tag,metric_inflation,trade,metric_industry_share
USA,1960,2879,GermanyCase,1.075182,9.693181,34.508629
USA,1961,2929,GermanyCase,1.075182,9.4446545,34.508629
USA,1962,3103,GermanyCase,1.116071,9.4293242,34.508629
USA,1963,3227,GermanyCase,1.214128,9.470706,34.508629
USA,1964,3420,GermanyCase,1.308615,9.7258787,34.508629
USA,1965,3667,GermanyCase,1.668461,9.7303467,34.508629
USA,1966,3974,GermanyCase,2.9909999,10.097592,34.508629
USA,1967,4154,GermanyCase,2.775636,10.208102,34.508629
USA,1968,4494,GermanyCase,4.217721,10.593937,34.508629
USA,1969,4805,GermanyCase,5.414701,10.635633,34.508629
USA,1970,4999,GermanyCase,5.8952961,11.388641,34.508629
USA,1971,5362,GermanyCase,4.255929,11.367576,34.508629
USA,1972,5838,GermanyCase,3.3056149,11.967158,34.44429
USA,1973,6464,GermanyCase,6.2200642,13.713565,34.37521
USA,1974,6951,GermanyCase,11.03526,17.316135,34.03606
USA,1975,7519,GermanyCase,9.1319304,16.37969,33.22567
USA,1976,8300,GermanyCase,5.7370272,16.873659,33.760849
USA,1977,9146,GermanyCase,6.4864602,17.220591,34.264641
USA,1978,10229,GermanyCase,7.6474638,17.80619,34.037231
USA,1979,11306,GermanyCase,11.26604,19.280546,33.62648
USA,1980,12186,GermanyCase,13.50937,21.081579,33.514389
USA,1981,13533,GermanyCase,10.31553,20.363241,34.08828
USA,1982,13940,GermanyCase,6.1606159,18.471621,32.909691
USA,1983,15008,GermanyCase,3.212435,17.624308,31.497219
USA,1984,16549,GermanyCase,4.3172688,18.577013,31.87278
USA,1985,17600,GermanyCase,3.561116,17.642408,30.864519
USA,1986,18439,GermanyCase,1.858736,17.954124,29.44326
USA,1987,19407,GermanyCase,3.740876,19.116186,29.19973
USA,1988,20711,GermanyCase,4.009088,20.330818,29.606489
USA,1989,22047,GermanyCase,4.827003,20.730293,28.61904
USA,1990,23064,GermanyCase,5.3979559,21.18795,27.850321
USA,1991,23507,GermanyCase,4.2349639,21.26635,26.62006
USA,1992,24509,GermanyCase,3.02882,21.54221,25.72843
USA,1993,25409,GermanyCase,2.9516571,21.55765,25.61001
USA,1994,26670,GermanyCase,2.6074419,22.618219,26.082951
USA,1995,27574,GermanyCase,2.8054199,24.273979,26.29285
USA,1996,28814,GermanyCase,2.9312041,24.58247,25.7854
USA,1997,30262,GermanyCase,2.3376901,25.591539,25.384291
USA,1998,31519,GermanyCase,1.552279,24.690569,25.018841
USA,1999,33028,GermanyCase,2.1880269,24.690569,24.72505
USA,2000,34603,GermanyCase,3.376857,24.690569,24.443489
USA,2001,35341,GermanyCase,2.8261709,24.690569,23.04858
USA,2002,36180,GermanyCase,1.586032,24.690569,23.04858
USA,2003,37548,GermanyCase,2.2700951,24.690569,23.04858
UK,1960,2158,GermanyCase,3.5794179,43.25547,43.07859
UK,1961,2216,GermanyCase,3.5794179,41.533241,43.07859
UK,1962,2276,GermanyCase,4.103672,40.404633,43.07859
UK,1963,2386,GermanyCase,2.0746889,40.406586,43.07859
UK,1964,2534,GermanyCase,3.2113819,40.518764,43.07859
UK,1965,2660,GermanyCase,4.8050408,39.225338,43.07859
UK,1966,2794,GermanyCase,3.9083049,38.964634,43.07859
UK,1967,2923,GermanyCase,2.423146,39.313187,43.07859
UK,1968,3173,GermanyCase,4.731638,43.665131,43.07859
UK,1969,3391,GermanyCase,5.4619021,44.038982,43.07859
UK,1970,3615,GermanyCase,6.3618932,45.247738,43.07859
UK,1971,3854,GermanyCase,9.4078751,44.933399,43.07859
UK,1972,4149,GermanyCase,7.0879121,43.559044,42.560081
UK,1973,4683,GermanyCase,9.2098513,49.803581,42.135399
UK,1974,5036,GermanyCase,15.90322,60.96212,41.623749
UK,1975,5481,GermanyCase,24.235081,53.562061,40.488178
UK,1976,5953,GermanyCase,16.532551,58.169788,41.08992
UK,1977,6489,GermanyCase,15.88198,59.420418,41.33041
UK,1978,7176,GermanyCase,8.2159624,55.656792,41.465809
UK,1979,7973,GermanyCase,13.46571,55.690353,41.823872
UK,1980,8502,GermanyCase,17.970591,52.326874,42.346298
UK,1981,9161,GermanyCase,11.87983,50.51421,41.894661
UK,1982,9917,GermanyCase,8.5905294,50.752407,41.491692
UK,1983,10669,GermanyCase,4.607018,52.091301,40.901451
UK,1984,11336,GermanyCase,4.9534092,57.00433,40.382359
UK,1985,12068,GermanyCase,6.0654211,56.622364,39.762779
UK,1986,12795,GermanyCase,3.4276149,52.056396,39.134338
UK,1987,13717,GermanyCase,4.1489182,51.936165,38.030521
UK,1988,14864,GermanyCase,4.9079762,49.649181,37.21299
